name,url_php,url_zip,ASPL,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Number of triangles,Average number of triangles,Maximum number of triangles,Average clustering coefficient,Fraction of closed triangles,Maximum k-core,Lower bound of Maximum Clique
brock200-1,https://networkrepository.com/brock200-1.php,https://nrvis.com/download/data/dimacs/brock200-1.zip,1.254572864321608,200.0,14800.0,0.745427,165.0,130.0,148.0,-0.00386832,1600000.0,8200.0,10100.0,0.745099,0.745111,135.0,18.0
brock200-2,https://networkrepository.com/brock200-2.php,https://nrvis.com/download/data/dimacs/brock200-2.zip,1.503718592964824,200.0,9900.0,0.496281,114.0,78.0,98.0,-0.011974,479700.0,2400.0,3200.0,0.494667,0.49462,85.0,10.0
brock200-3,https://networkrepository.com/brock200-3.php,https://nrvis.com/download/data/dimacs/brock200-3.zip,1.394572864321608,200.0,12000.0,0.605427,134.0,99.0,120.0,-0.0086259,873400.0,4400.0,5400.0,0.604975,0.605011,106.0,13.0
brock200-4,https://networkrepository.com/brock200-4.php,https://nrvis.com/download/data/dimacs/brock200-4.zip,1.3422613065326634,200.0,13100.0,0.657739,147.0,112.0,130.0,-0.0171309,1100000.0,5600.0,7000.0,0.657421,0.657343,118.0,14.0
hamming10-2,https://networkrepository.com/hamming10-2.php,https://nrvis.com/download/data/dimacs/hamming10-2.zip,1.0097751710654936,1000.0,518700.00000000006,0.990225,1000.0,1000.0,1000.0,1.0,519700000.00000006,507600.0,507600.0,0.990206,0.990206,1000.0,352.0
C1000-9,https://networkrepository.com/C1000-9.php,https://nrvis.com/download/data/dimacs/C1000-9.zip,1.098940940940941,1000.0,450100.0,0.901059,925.0,868.0,900.0,-0.00189322,364700000.0,364700.0,385000.0,0.901055,0.901055,875.0,53.0
san1000,https://networkrepository.com/san1000.php,https://nrvis.com/download/data/dimacs/san1000.zip,1.4984984984984986,1000.0,250500.0,0.501502,550.0,445.0,501.0,0.674301,86400000.0,86400.0,100700.0,0.685062,0.687277,465.0,9.0
san400-0-9-1,https://networkrepository.com/san400-0-9-1.php,https://nrvis.com/download/data/dimacs/san400-0-9-1.zip,1.1,400.0,71800.0,0.9,374.0,341.0,359.0,-0.00497182,23200000.0,57900.0,62800.0,0.900655,0.900644,345.0,54.0
san400-0-7-1,https://networkrepository.com/san400-0-7-1.php,https://nrvis.com/download/data/dimacs/san400-0-7-1.zip,1.3,400.0,55900.0,0.7,301.0,257.0,279.0,-0.00454926,11400000.0,28500.0,32300.0,0.732441,0.732084,262.0,22.0
san400-0-7-2,https://networkrepository.com/san400-0-7-2.php,https://nrvis.com/download/data/dimacs/san400-0-7-2.zip,1.3,400.0,55900.0,0.7,304.0,257.0,279.0,0.0301442,11300000.0,28200.0,32900.0,0.7253,0.725079,260.0,18.0
san400-0-7-3,https://networkrepository.com/san400-0-7-3.php,https://nrvis.com/download/data/dimacs/san400-0-7-3.zip,1.3,400.0,55900.0,0.7,307.0,250.0,279.0,0.17637,11200000.0,27900.0,33700.0,0.716974,0.717533,254.0,15.0
san400-0-5-1,https://networkrepository.com/san400-0-5-1.php,https://nrvis.com/download/data/dimacs/san400-0-5-1.zip,1.5,400.0,39900.0,0.5,225.0,174.0,199.0,0.602703,5200000.0,13100.0,15900.0,0.654299,0.656928,184.0,8.0
san200-0-9-1,https://networkrepository.com/san200-0-9-1.php,https://nrvis.com/download/data/dimacs/san200-0-9-1.zip,1.1,200.0,17900.0,0.9,191.0,159.0,179.0,0.0406465,2900000.0,14400.0,16400.0,0.901836,0.902019,163.0,48.0
san200-0-9-2,https://networkrepository.com/san200-0-9-2.php,https://nrvis.com/download/data/dimacs/san200-0-9-2.zip,1.1,200.0,17900.0,0.9,188.0,169.0,179.0,-0.00299399,2900000.0,14400.0,15800.0,0.900435,0.900427,170.0,40.0
san200-0-9-3,https://networkrepository.com/san200-0-9-3.php,https://nrvis.com/download/data/dimacs/san200-0-9-3.zip,1.1,200.0,17900.0,0.9,187.0,166.0,179.0,-0.0107095,2900000.0,14400.0,15600.0,0.899727,0.899712,170.0,33.0
san200-0-7-2,https://networkrepository.com/san200-0-7-2.php,https://nrvis.com/download/data/dimacs/san200-0-7-2.zip,1.3,200.0,13900.0,0.7,164.0,103.0,139.0,0.263062,1500000.0,7300.0,9800.0,0.729743,0.741806,123.0,13.0
san200-0-7-1,https://networkrepository.com/san200-0-7-1.php,https://nrvis.com/download/data/dimacs/san200-0-7-1.zip,1.3,200.0,13900.0,0.7,155.0,125.0,139.0,0.0677214,1400000.0,7000.0,8600.0,0.726296,0.726081,126.0,17.0
sanr200-0-9,https://networkrepository.com/sanr200-0-9.php,https://nrvis.com/download/data/dimacs/sanr200-0-9.zip,1.102361809045226,200.0,17900.0,0.897638,189.0,166.0,178.0,-0.0101712,2900000.0,14300.0,15900.0,0.897741,0.89773,167.0,37.0
sanr200-0-7,https://networkrepository.com/sanr200-0-7.php,https://nrvis.com/download/data/dimacs/sanr200-0-7.zip,1.3031155778894472,200.0,13900.0,0.696884,161.0,120.0,138.0,-0.0166367,1300000.0,6700.0,8900.0,0.696634,0.696584,125.0,16.0
sanr400-0-5,https://networkrepository.com/sanr400-0-5.php,https://nrvis.com/download/data/dimacs/sanr400-0-5.zip,1.4989473684210526,400.0,40000.0,0.501053,233.0,161.0,199.0,-0.00815075,4000000.0,10000.0,13600.0,0.501093,0.501063,178.0,12.0
sanr400-0-7,https://networkrepository.com/sanr400-0-7.php,https://nrvis.com/download/data/dimacs/sanr400-0-7.zip,1.2998872180451129,400.0,55900.0,0.700113,310.0,252.0,279.0,-0.00169434,10900000.0,27300.0,33500.0,0.700189,0.700193,259.0,19.0
