name,url_php,url_zip,ASPL,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Number of triangles,Average number of triangles,Maximum number of triangles,Average clustering coefficient,Fraction of closed triangles,Maximum k-core,Lower bound of Maximum Clique
frb40-19-3,https://networkrepository.com/frb40-19-3.php,https://nrvis.com/download/data/bhoslib/frb40-19-3.zip,1.142483184245198,760.0,247300.0,0.857517,702.0,600.0,650.0,-0.0212089,137600000.0,181100.0,210200.0,0.85581,0.855782,613.0,33.0
frb40-19-2,https://networkrepository.com/frb40-19-2.php,https://nrvis.com/download/data/bhoslib/frb40-19-2.zip,1.1430656681228764,760.0,247200.0,0.856934,702.0,588.0,650.0,-0.0349963,137500000.0,181000.0,209900.0,0.856034,0.855937,598.0,34.0
frb40-19-1,https://networkrepository.com/frb40-19-1.php,https://nrvis.com/download/data/bhoslib/frb40-19-1.zip,1.143242493585743,760.0,247100.0,0.856758,703.0,581.0,650.0,-0.028485,137500000.0,181000.0,210600.0,0.856172,0.856082,595.0,33.0
frb45-21-1,https://networkrepository.com/frb45-21-1.php,https://nrvis.com/download/data/bhoslib/frb45-21-1.zip,1.132692135234508,945.0,386900.0,0.867308,876.0,756.0,818.0,-0.023507,274200000.0,290200.0,331600.0,0.866269,0.866231,769.0,36.0
frb45-21-2,https://networkrepository.com/frb45-21-2.php,https://nrvis.com/download/data/bhoslib/frb45-21-2.zip,1.1314321585508027,945.0,387400.0,0.868568,870.0,753.0,819.0,-0.0292325,275400000.0,291400.0,326900.0,0.867356,0.867313,769.0,37.0
frb45-21-3,https://networkrepository.com/frb45-21-3.php,https://nrvis.com/download/data/bhoslib/frb45-21-3.zip,1.1305824589722897,945.0,387800.0,0.869418,872.0,739.0,820.0,-0.023224,276200000.0,292300.0,329600.0,0.868295,0.868258,764.0,36.0
frb45-21-4,https://networkrepository.com/frb45-21-4.php,https://nrvis.com/download/data/bhoslib/frb45-21-4.zip,1.1312640121962156,945.0,387500.0,0.868736,875.0,732.0,820.0,-0.028105,275700000.0,291800.0,331200.0,0.868019,0.867953,757.0,36.0
frb45-21-5,https://networkrepository.com/frb45-21-5.php,https://nrvis.com/download/data/bhoslib/frb45-21-5.zip,1.1313312707380505,945.0,387500.0,0.868669,874.0,764.0,820.0,-0.0254529,275400000.0,291400.0,330500.0,0.867368,0.86733,771.0,36.0
frb50-23-1,https://networkrepository.com/frb50-23-1.php,https://nrvis.com/download/data/bhoslib/frb50-23-1.zip,1.121197260377644,1200.0,580600.0,0.878803,1100.0,941.0,1000.0,-0.022007,514500000.0,447400.0,496100.0,0.877915,0.877884,950.0,40.0
frb50-23-2,https://networkrepository.com/frb50-23-2.php,https://nrvis.com/download/data/bhoslib/frb50-23-2.zip,1.1223763575131491,1200.0,579800.0,0.877624,1100.0,922.0,1000.0,-0.0202049,512500000.0,445600.0,504600.0,0.876856,0.876827,936.0,40.0
frb50-23-3,https://networkrepository.com/frb50-23-3.php,https://nrvis.com/download/data/bhoslib/frb50-23-3.zip,1.122704809475158,1200.0,579600.0,0.877295,1100.0,945.0,1000.0,-0.0249133,511600000.0,444900.0,508000.0,0.876169,0.876142,953.0,40.0
frb50-23-4,https://networkrepository.com/frb50-23-4.php,https://nrvis.com/download/data/bhoslib/frb50-23-4.zip,1.1214787906307944,1200.0,580400.0,0.878521,1100.0,941.0,1000.0,-0.025344,514000000.0,446900.0,502700.0,0.877594,0.87756,950.0,40.0
frb50-23-5,https://networkrepository.com/frb50-23-5.php,https://nrvis.com/download/data/bhoslib/frb50-23-5.zip,1.1211412570477164,1200.0,580600.0,0.878859,1100.0,922.0,1000.0,-0.0252653,514600000.0,447500.0,510900.0,0.878063,0.878023,949.0,41.0
frb53-24-1,https://networkrepository.com/frb53-24-1.php,https://nrvis.com/download/data/bhoslib/frb53-24-1.zip,1.1165662158751837,1300.0,714100.0,0.883434,1200.0,1000.0,1100.0,-0.0130046,707600000.0,556300.0,619400.0,0.882696,0.882684,1100.0,42.0
frb53-24-2,https://networkrepository.com/frb53-24-2.php,https://nrvis.com/download/data/bhoslib/frb53-24-2.zip,1.11664291475538,1300.0,714100.0,0.883357,1200.0,1000.0,1100.0,-0.0199921,707200000.0,555900.0,615300.0,0.882437,0.882417,1100.0,42.0
frb53-24-3,https://networkrepository.com/frb53-24-3.php,https://nrvis.com/download/data/bhoslib/frb53-24-3.zip,1.116442508003899,1300.0,714200.0,0.883557,1200.0,1000.0,1100.0,-0.0210764,707700000.0,556400.0,616500.0,0.882724,0.882698,1100.0,43.0
frb53-24-4,https://networkrepository.com/frb53-24-4.php,https://nrvis.com/download/data/bhoslib/frb53-24-4.zip,1.116666419250924,1300.0,714000.0,0.883334,1200.0,1000.0,1100.0,-0.0239669,707100000.0,555900.0,622200.0,0.8824,0.88237,1100.0,42.0
frb53-24-5,https://networkrepository.com/frb53-24-5.php,https://nrvis.com/download/data/bhoslib/frb53-24-5.zip,1.1165649787964709,1300.0,714100.0,0.883435,1200.0,1100.0,1100.0,-0.0246235,707200000.0,556000.0,633100.0,0.882407,0.882383,1100.0,42.0
